"Time
(hours)","MSE1
24-hr (depth)","MSE2
24-hr
(depth)","MSE3
24-hr
(depth)","MSE4
24-hr
(depth)","MSE5
24-hr
(depth)","MSE6
24-hr
(depth)","Type I
24-hr
(depth)","Type IA
24-hr
(depth)","Type II
6-hr
(depth)","Type II
12-hr
(depth)","Type II
24-hr
(depth)","Type III
6-hr
(depth)","Type III
12-hr
(depth)","Type III
24-hr
(depth)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.000066,0.00017,0.000267,0.000395,0.000544,0.000713,0.00174,0.00224,0.004529,0.002152,0.001005,0.005374,0.001898,0.001
0.2,0.000147,0.000359,0.000555,0.000812,0.00111,0.00145,0.003482,0.004319,0.009059,0.004328,0.00202,0.01091,0.003855,0.002
0.3,0.000244,0.000565,0.000861,0.00125,0.0017,0.00221,0.005224,0.006279,0.013588,0.006528,0.003045,0.016609,0.00587,0.003
0.4,0.000356,0.00079,0.00119,0.00171,0.00231,0.003,0.006968,0.008159,0.018118,0.008751,0.00408,0.02247,0.007944,0.004
0.5,0.000484,0.00103,0.00153,0.00219,0.00295,0.0038,0.008712,0.009998,0.022647,0.010999,0.005125,0.028493,0.010076,0.005
0.6,0.000627,0.00129,0.0019,0.00269,0.00361,0.00464,0.010458,0.011838,0.027289,0.01327,0.00618,0.034679,0.012266,0.006
0.7,0.000787,0.00157,0.00229,0.00321,0.00429,0.00549,0.012204,0.013718,0.032158,0.015565,0.007245,0.041027,0.014515,0.007
0.8,0.000961,0.00187,0.00269,0.00376,0.005,0.00637,0.013952,0.015678,0.037254,0.017883,0.00832,0.047537,0.016822,0.008
0.9,0.00115,0.00218,0.00312,0.00433,0.00572,0.00727,0.0157,0.017757,0.042576,0.020226,0.009405,0.05421,0.019188,0.009
1,0.00136,0.00251,0.00356,0.00491,0.00647,0.0082,0.01745,0.019997,0.048124,0.022592,0.0105,0.061044,0.021612,0.01
1.1,0.00158,0.00286,0.00403,0.00552,0.00725,0.00915,0.0192,0.022753,0.053957,0.024982,0.011605,0.06813,0.024095,0.011
1.2,0.00181,0.00323,0.00451,0.00615,0.00804,0.01013,0.020952,0.025673,0.060128,0.027396,0.01272,0.075554,0.026636,0.012
1.3,0.00207,0.00362,0.00501,0.0068,0.00886,0.01112,0.022704,0.028714,0.066639,0.029833,0.013845,0.083317,0.029235,0.013
1.4,0.00234,0.00402,0.00554,0.00747,0.00971,0.01215,0.024458,0.031835,0.073489,0.032295,0.01498,0.091419,0.031893,0.014
1.5,0.00262,0.00444,0.00608,0.00817,0.01057,0.01319,0.026212,0.034996,0.08068,0.03478,0.016125,0.099859,0.034609,0.015
1.6,0.00292,0.00488,0.00665,0.00888,0.01146,0.01426,0.027968,0.037969,0.088324,0.037289,0.01728,0.108638,0.037383,0.016
1.7,0.00323,0.00534,0.00723,0.00962,0.01237,0.01535,0.029724,0.040946,0.096534,0.039821,0.018445,0.117756,0.040216,0.017
1.8,0.00356,0.00581,0.00783,0.01038,0.0133,0.01647,0.031482,0.043938,0.10531,0.042378,0.01962,0.127212,0.043108,0.018
1.9,0.00391,0.00631,0.00845,0.01116,0.01426,0.01761,0.03324,0.046954,0.114652,0.044958,0.020805,0.137008,0.046057,0.019
2,0.00427,0.00682,0.0091,0.01196,0.01524,0.01878,0.035,0.050002,0.12456,0.047562,0.022,0.147142,0.049066,0.02
2.1,0.00465,0.00735,0.00976,0.01278,0.01624,0.01996,0.036774,0.053148,0.135431,0.050236,0.023205,0.158095,0.05217,0.021007
2.2,0.00504,0.00789,0.01044,0.01362,0.01727,0.02118,0.038578,0.056332,0.14766,0.05303,0.02442,0.170346,0.055409,0.02203
2.3,0.00545,0.00846,0.01114,0.01449,0.01832,0.02241,0.040411,0.05954,0.161249,0.055943,0.025645,0.183896,0.058782,0.023068
2.4,0.00587,0.00904,0.01186,0.01537,0.01939,0.02367,0.042272,0.062764,0.176196,0.058975,0.02688,0.198744,0.06229,0.02412
2.5,0.00631,0.00964,0.0126,0.01628,0.02048,0.02495,0.044163,0.065997,0.192502,0.062126,0.028125,0.214891,0.065932,0.025188
2.6,0.00676,0.01026,0.01336,0.01721,0.0216,0.02626,0.046082,0.0692,0.226243,0.065396,0.02938,0.237897,0.069708,0.02627
